model,frame_number,inference_time_ms,fps,gpu_memory_mb,gpu_util_percent
yolo11s,16,17.5272,57.05,1889.52,26
yolo11s,17,18.2115,54.91,1889.52,25
yolo11s,18,17.703,56.49,1889.52,25
yolo11s,19,16.7544,59.69,1889.52,25
yolo11s,20,17.3246,57.72,1889.52,25
yolo11s,21,23.789,42.04,1889.51,27
yolo11s,22,17.0374,58.69,1889.51,27
yolo11s,23,17.0884,58.52,1889.51,27
yolo11s,24,17.0848,58.53,1889.51,27
yolo11s,25,17.6908,56.53,1889.51,23
yolo11s,26,16.7227,59.8,1889.51,23
yolo11s,27,18.1478,55.1,1889.51,23
yolo11s,28,18.6208,53.7,1889.51,23
yolo11s,29,16.954,58.98,1889.51,25
yolo11s,30,17.0634,58.6,1889.51,25
yolo11s,31,19.3355,51.72,1900.7,25
yolo11s,32,20.9012,47.84,1900.7,25
yolo11s,33,17.1584,58.28,1900.7,27
yolo11s,34,22.9357,43.6,1900.7,27
yolo11s,35,17.2787,57.87,1900.7,27
yolo11s,36,16.4555,60.77,1900.7,27
yolo11s,37,17.4517,57.3,1900.7,27
yolo11s,38,17.7478,56.35,1900.7,25
yolo11s,39,16.5818,60.31,1900.7,25
yolo11s,40,17.7182,56.44,1900.7,25
yolo11s,41,16.5769,60.32,1900.7,25
yolo11s,42,16.9045,59.16,1900.7,24
yolo11s,43,16.9204,59.1,1900.7,24
yolo11s,44,16.6949,59.9,1900.7,24
yolo11s,45,17.8386,56.06,1900.7,24
yolo11s,46,17.4699,57.24,1900.7,26
yolo11s,47,17.9236,55.79,1900.7,26
yolo11s,48,16.8936,59.19,1900.7,26
yolo11s,49,17.7126,56.46,1900.7,26
yolo11s,50,17.1147,58.43,1900.7,26
yolo11s,51,17.0551,58.63,1900.7,26
yolo11s,52,17.3853,57.52,1900.7,26
yolo11s,53,16.9162,59.11,1900.7,26
yolo11s,54,16.9871,58.87,1900.7,26
yolo11s,55,17.7579,56.31,1900.7,25
yolo11s,56,17.3262,57.72,1900.7,25
yolo11s,57,16.993,58.85,1900.7,25
yolo11s,58,16.5404,60.46,1900.7,25
yolo11s,59,15.9636,62.64,1900.7,34
yolo11s,60,16.4804,60.68,1900.7,34
yolo11s,61,16.3053,61.33,1900.7,34
yolo11s,62,16.7524,59.69,1900.7,34
yolo11s,63,16.1843,61.79,1900.7,34
yolo11s,64,16.6685,59.99,1900.7,31
yolo11s,65,16.5414,60.45,1900.7,31
yolo11s,66,16.7147,59.83,1900.7,31
yolo11s,67,17.0337,58.71,1900.7,31
yolo11s,68,16.3924,61.0,1900.7,30
yolo11s,69,16.4894,60.65,1900.7,30
yolo11s,70,16.1067,62.09,1900.7,30
yolo11s,71,17.7275,56.41,1900.7,30
yolo11s,72,16.7514,59.7,1900.7,30
yolo11s,73,17.7182,56.44,1900.7,30
yolo11s,74,16.725,59.79,1900.7,30
yolo11s,75,16.5486,60.43,1900.7,30
yolo11s,76,17.1212,58.41,1900.7,31
yolo11s,77,16.3752,61.07,1900.7,31
yolo11s,78,16.9148,59.12,1900.7,31
yolo11s,79,16.6512,60.06,1900.7,31
yolo11s,80,16.0584,62.27,1900.7,33
yolo11s,81,19.3827,51.59,1900.7,33
yolo11s,82,17.015,58.77,1900.7,33
yolo11s,83,17.3411,57.67,1900.7,33
yolo11s,84,16.7444,59.72,1900.7,33
yolo11s,85,16.0354,62.36,1900.7,30
yolo11s,86,16.6188,60.17,1900.7,30
yolo11s,87,16.1114,62.07,1900.7,30
yolo11s,88,19.3538,51.67,1900.7,30
yolo11s,89,16.698,59.89,1900.7,29
yolo11s,90,16.1835,61.79,1900.7,29
yolo11s,91,16.9315,59.06,1900.7,29
yolo11s,92,16.4319,60.86,1900.7,29
yolo11s,93,16.4633,60.74,1900.7,33
yolo11s,94,16.1453,61.94,1900.7,33
yolo11s,95,16.4395,60.83,1900.7,33
yolo11s,96,16.3485,61.17,1900.7,33
yolo11s,97,16.1353,61.98,1900.7,33
yolo11s,98,16.3455,61.18,1900.7,33
yolo11s,99,16.3287,61.24,1900.7,33
yolo11s,100,16.4526,60.78,1900.7,33
sam3d,1,7487.5149,0.13,5731.82,24
sam3d,2,3687.5732,0.27,5671.45,27
sam3d,3,3648.5794,0.27,5673.89,27
sam3d,4,3649.1518,0.27,5665.26,30
sam3d,5,3654.1073,0.27,5665.26,30
sam3d,6,3658.4904,0.27,5673.95,29
sam3d,7,3656.966,0.27,5673.95,29
sam3d,8,3663.7817,0.27,5673.32,30
sam3d,9,3660.0026,0.27,5673.26,30
sam3d,10,3686.8555,0.27,5665.26,27
sam3d,11,3687.7486,0.27,5665.26,28
sam3d,12,3728.9274,0.27,5665.26,25
sam3d,13,3503.3883,0.29,5665.26,28
sam3d,14,3495.4407,0.29,5665.89,22
sam3d,15,3479.4818,0.29,5665.89,25
sam3d,16,3479.6922,0.29,5665.89,25
sam3d,17,3474.8362,0.29,5665.89,25
sam3d,18,3463.7498,0.29,5665.89,25
sam3d,19,3670.1769,0.27,5665.89,31
sam3d,20,3666.3316,0.27,5665.89,31
sam3d,21,3673.8933,0.27,5665.89,29
sam3d,22,3662.4147,0.27,5674.57,29
sam3d,23,3666.6248,0.27,5677.82,28
sam3d,24,3458.6766,0.29,5675.2,26
sam3d,25,3453.3691,0.29,5675.2,23
sam3d,26,3665.3947,0.27,5675.14,25
sam3d,27,3715.8023,0.27,5667.14,31
sam3d,28,3670.2644,0.27,5667.14,31
sam3d,29,3676.2762,0.27,5667.14,30
sam3d,30,3465.3706,0.29,5667.14,25
sam3d,31,3470.5422,0.29,5667.14,26
sam3d,32,3669.9708,0.27,5667.14,29
sam3d,33,3496.4788,0.29,5682.11,25
sam3d,34,3686.779,0.27,5682.11,29
sam3d,35,3669.8399,0.27,5682.11,29
sam3d,36,3675.0678,0.27,5679.76,28
sam3d,37,3468.192,0.29,5675.26,26
sam3d,38,3682.9376,0.27,5653.39,29
sam3d,39,3672.2324,0.27,5662.07,29
sam3d,40,3469.307,0.29,5662.07,24
sam3d,41,3488.6734,0.29,5661.45,29
sam3d,42,3672.2039,0.27,5655.45,26
sam3d,43,3465.5527,0.29,5653.45,24
sam3d,44,3464.2224,0.29,5653.45,25
sam3d,45,3672.5808,0.27,5653.45,27
sam3d,46,3461.1354,0.29,5653.45,26
sam3d,47,3661.6973,0.27,5653.45,29
sam3d,48,3459.7186,0.29,5653.45,25
sam3d,49,3466.4237,0.29,5672.37,24
sam3d,50,3668.1669,0.27,5672.12,29
sam3d,51,3468.1529,0.29,5663.87,24
sam3d,52,3674.4665,0.27,5665.33,31
sam3d,53,3462.4153,0.29,5655.14,26
sam3d,54,3460.2684,0.29,5655.14,31
sam3d,55,3469.5064,0.29,5636.14,25
sam3d,56,3457.1605,0.29,5644.57,27
sam3d,57,3461.3603,0.29,5643.14,25
sam3d,58,3461.435,0.29,5642.32,24
sam3d,59,3549.4786,0.28,5698.11,28
sam3d,60,3527.6489,0.28,5732.67,26
sam3d,61,3497.9018,0.29,5658.17,24
sam3d,62,3497.6006,0.29,5645.29,28
sam3d,63,3578.3239,0.28,5744.11,27
sam3d,64,3621.4011,0.28,5769.07,27
sam3d,65,3641.0096,0.27,5748.67,27
sam3d,66,3480.233,0.29,5731.67,26
sam3d,67,3460.9643,0.29,5731.67,26
sam3d,68,3462.6748,0.29,5731.67,31
sam3d,69,3459.7989,0.29,5731.67,25
sam3d,70,3465.5219,0.29,5731.67,25
sam3d,71,3561.5796,0.28,5675.64,25
sam3d,72,3524.1912,0.28,5651.23,25
sam3d,73,3533.5585,0.28,5626.42,28
sam3d,74,3573.619,0.28,5586.48,27
sam3d,75,3621.9693,0.28,5578.86,27
sam3d,76,3555.9872,0.28,5616.17,25
sam3d,77,3520.8903,0.28,5617.61,25
sam3d,78,3518.4188,0.28,5607.17,23
sam3d,79,3574.8501,0.28,5680.54,26
sam3d,80,3491.7934,0.29,5649.29,27
sam3d,81,3499.0272,0.29,5586.48,25
sam3d,82,3497.8925,0.29,5567.92,25
sam3d,83,3497.5762,0.29,5567.92,25
sam3d,84,3501.2751,0.29,5567.92,25
sam3d,85,3503.2882,0.29,5567.92,25
sam3d,86,3481.9351,0.29,5567.92,25
sam3d,87,3500.9388,0.29,5567.92,25
sam3d,88,3492.141,0.29,5567.92,25
sam3d,89,3492.3294,0.29,5575.98,25
sam3d,90,3497.2641,0.29,5575.92,25
sam3d,91,3503.2554,0.29,5567.92,25
sam3d,92,3508.2442,0.29,5567.92,26
sam3d,93,3498.6006,0.29,5567.92,25
sam3d,94,3497.7204,0.29,5567.92,25
sam3d,95,3496.2381,0.29,5567.92,26
sam3d,96,3497.0787,0.29,5567.92,25
sam3d,97,3500.9047,0.29,5567.92,26
sam3d,98,3496.0107,0.29,5567.92,25
sam3d,99,3537.3678,0.28,5634.11,26
sam3d,100,3594.1556,0.28,5743.8,23
metrabs,1,6216.9023,0.16,2611.43,62
metrabs,2,140.4121,7.12,2611.58,13
metrabs,3,139.2679,7.18,2611.58,43
